scientificName,family,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,eventDate
Taxidea taxus,Mustelidae,42.9904,-107.5697,355468.0,1974-01-31
Taxidea taxus,Mustelidae,48.2453,-114.2958,,2000-09-03
Taxidea taxus,Mustelidae,24.8395,-100.7026,,2007-01-27
Taxidea taxus,Mustelidae,41.3114,-105.5906,25595.0,1973-12-18
Taxidea taxus,Mustelidae,38.938,-99.6721,,1989-11-11
Taxidea taxus,Mustelidae,30.7598,-115.4456,,2002-09-27
Taxidea taxus,Mustelidae,31.5307,-100.564,,1994-07-08
Taxidea taxus,Mustelidae,49.0833,-116.1,,1929-09-27
Taxidea taxus,Mustelidae,43.4935,-82.6238,1202.0,1990-01-01
Taxidea taxus,Mustelidae,24.8486,-100.6862,,2008-12-14
Taxidea taxus,Mustelidae,31.3765,-100.4877,,1989-10-10
Taxidea taxus,Mustelidae,38.9172,-97.1763,,1977-08-21
Taxidea taxus,Mustelidae,43.5077,-83.1179,1202.0,1990-11-07
Taxidea taxus,Mustelidae,37.22,-107.34,8045.0,1971-04-07
Taxidea taxus,Mustelidae,19.3083,-99.225,,1984-12-18
Taxidea taxus,Mustelidae,48.2453,-114.2958,,2000-09-03
Taxidea taxus,Mustelidae,42.4632,-98.7623,,2010-12-08
Taxidea taxus,Mustelidae,31.8401,-109.6954,,1951-11-03
Taxidea taxus,Mustelidae,43.2435,-83.6883,1032.0,1990-01-01
Taxidea taxus,Mustelidae,26.6743,-103.7911,,2010-11-12
Taxidea taxus,Mustelidae,42.0894,-106.188,1609.0,1991-07-01
Taxidea taxus,Mustelidae,24.8536,-100.6951,,2009-07-30
Taxidea taxus,Mustelidae,24.9111,-107.8025,,1996-10-16
Taxidea taxus,Mustelidae,38.7306,-98.2649,,1972-08-21
Taxidea taxus,Mustelidae,44.0565,-84.8568,,1976-01-01
Taxidea taxus,Mustelidae,24.1877,-110.9451,,1994-10-30
Taxidea taxus,Mustelidae,52.0167,-121.7833,,1949-08-14
Taxidea taxus,Mustelidae,30.8267,-108.45,,1994-10-09
Taxidea taxus,Mustelidae,40.2503,-83.0002,,1968-03-01
Taxidea taxus,Mustelidae,36.0667,-120.3594,,1977-11-01
Taxidea taxus,Mustelidae,27.9769,-114.0611,,1990-07-24
Taxidea taxus,Mustelidae,26.1684,-97.1728,,1984-11-16
Taxidea taxus,Mustelidae,42.9904,-107.5697,355468.0,1974-01-31
Taxidea taxus,Mustelidae,38.1426,-122.7046,,2007-06-29
Taxidea taxus,Mustelidae,37.422,-122.1991,1630.0,1981-07-28
Taxidea taxus,Mustelidae,22.0136,-101.2419,,1969-08-23
Taxidea taxus,Mustelidae,31.7727,-113.485,,1991-11-10
Taxidea taxus,Mustelidae,27.3,-112.9,4085.0,1933-04-25
Taxidea taxus,Mustelidae,32.6468,-111.1001,,1962-05-07
Taxidea taxus,Mustelidae,31.6698,-109.1558,,1969-10-04
Taxidea taxus,Mustelidae,42.6889,-84.2829,1622.0,1980-01-01
Taxidea taxus,Mustelidae,50.5086,-116.0313,,1959-11-07
Taxidea taxus,Mustelidae,35.77,-120.79,284.68,2002-11-12
Taxidea taxus,Mustelidae,39.5349,-118.8565,9553.07,1941-01-13
Taxidea taxus,Mustelidae,34.7299,-118.4207,670.56,1904-06-21
Taxidea taxus,Mustelidae,40.4595,-121.4426,212.43,1923-10-19
Taxidea taxus,Mustelidae,39.1007,-114.5603,6463.13,1929-07-20
Taxidea taxus,Mustelidae,36.3973,-121.3231,160.93,1936-08-01
Taxidea taxus,Mustelidae,43.4634,-114.2604,1945.7,1935-11-22
Taxidea taxus,Mustelidae,36.351,-121.8927,1609.34,1966-05-30
Taxidea taxus,Mustelidae,37.0121,-122.082,3218.69,1983-08-18
Taxidea taxus,Mustelidae,35.4594,-120.1671,7242.05,1947-03-31
Taxidea taxus,Mustelidae,42.1723,-116.1101,2455.86,1934-06-01
Taxidea taxus,Mustelidae,24.0612,-110.3923,,1929-03-06
Taxidea taxus,Mustelidae,37.8793,-119.3957,645.35,1915-07-11
Taxidea taxus,Mustelidae,35.9007,-120.2711,160.93,1947-06-23
Taxidea taxus,Mustelidae,36.9782,-118.5116,128.75,1961-09-05
Taxidea taxus,Mustelidae,39.4402,-118.8808,24425.01,1940-11-07
Taxidea taxus,Mustelidae,37.1227,-120.7987,804.67,1930-07-22
Taxidea taxus,Mustelidae,37.7951,-121.8664,281.0,2008-04-21
Taxidea taxus,Mustelidae,42.2276,-120.6925,14.48,1929-12-17
Taxidea taxus,Mustelidae,41.4438,-120.167,1993.98,1910-08-04
Taxidea taxus,Mustelidae,29.7761,-111.0561,17670.0,1941-11-18
Taxidea taxus,Mustelidae,36.434,-118.2678,804.67,1911-08-08
Taxidea taxus,Mustelidae,41.5104,-120.4975,3606.54,1920-05-20
Taxidea taxus,Mustelidae,40.1524,-120.0137,317.04,1916-07-06
Taxidea taxus,Mustelidae,32.5653,-104.3971,1233.0,1940-06-04
Taxidea taxus,Mustelidae,35.6016,-120.3091,1207.01,1946-08-28
